"Time","Prey"
0,50
0.01,49.95
0.02,49.8996504
0.03,49.8489512593973
0.04,49.7979026523922
0.05,49.7465046680747
0.06,49.6947574105094
0.07,49.64266099882
0.08,49.5902155672724
0.09,49.5374212653574
0.1,49.4842782578712
0.11,49.4307867249955
0.12,49.3769468623767
0.13,49.3227588812034
0.14,49.2682230082827
0.15,49.213339486116
0.16,49.1581085729724
0.17,49.1025305429624
0.18,49.0466056861087
0.19,48.990334308417
0.2,48.9337167319445
0.21,48.876753294868
0.22,48.8194443515499
0.23,48.7617902726029
0.24,48.7037914449539
0.25,48.6454482719057
0.26,48.5867611731978
0.27,48.5277305850651
0.28,48.4683569602963
0.29,48.4086407682892
0.3,48.3485824951057
0.31,48.2881826435247
0.32,48.2274417330938
0.33,48.1663603001785
0.34,48.104938898011
0.35,48.0431780967365
0.36,47.9810784834583
0.37,47.9186406622806
0.38,47.8558652543504
0.39,47.7927528978973
0.4,47.7293042482711
0.41,47.6655199779787
0.42,47.6014007767181
0.43,47.5369473514111
0.44,47.4721604262347
0.45,47.4070407426493
0.46,47.3415890594267
0.47,47.2758061526747
0.48,47.209692815861
0.49,47.1432498598343
0.5,47.0764781128442
0.51,47.0093784205584
0.52,46.9419516460786
0.53,46.8741986699542
0.54,46.8061203901938
0.55,46.7377177222748
0.56,46.6689915991512
0.57,46.599942971259
0.58,46.5305728065198
0.59,46.4608820903422
0.6,46.3908718256213
0.61,46.3205430327354
0.62,46.249896749542
0.63,46.1789340313701
0.64,46.1076559510111
0.65,46.036063598708
0.66,45.9641580821416
0.67,45.8919405264146
0.68,45.8194120740343
0.69,45.7465738848924
0.7,45.6734271362426
0.71,45.5999730226761
0.72,45.5262127560954
0.73,45.4521475656849
0.74,45.3777786978798
0.75,45.3031074163331
0.76,45.2281350018794
0.77,45.1528627524971
0.78,45.0772919832686
0.79,45.0014240263371
0.8,44.9252602308624
0.81,44.8488019629737
0.82,44.77205060572
0.83,44.6950075590185
0.84,44.6176742396011
0.85,44.5400520809573
0.86,44.4621425332764
0.87,44.3839470633862
0.88,44.3054671546898
0.89,44.2267043071001
0.9,44.1476600369722
0.91,44.0683358770331
0.92,43.9887333763089
0.93,43.9088541000507
0.94,43.8286996296571
0.95,43.7482715625948
0.96,43.6675715123171
0.97,43.5866011081797
0.98,43.5053619953548
0.99,43.4238558347419
1,43.3420843028777
1.01,43.2600490918422
1.02,43.1777519091638
1.03,43.0951944777215
1.04,43.0123785356448
1.05,42.9293058362116
1.06,42.8459781477439
1.07,42.7623972535008
1.08,42.6785649515698
1.09,42.5944830547558
1.1,42.5101533904675
1.11,42.4255778006021
1.12,42.3407581414275
1.13,42.2556962834624
1.14,42.1703941113543
1.15,42.0848535237557
1.16,41.999076433197
1.17,41.9130647659592
1.18,41.8268204619423
1.19,41.7403454745335
1.2,41.6536417704723
1.21,41.5667113297137
1.22,41.4795561452897
1.23,41.3921782231686
1.24,41.3045795821119
1.25,41.2167622535303
1.26,41.1287282813362
1.27,41.0404797217961
1.28,40.9520186433791
1.29,40.8633471266053
1.3,40.7744672638915
1.31,40.6853811593946
1.32,40.5960909288542
1.33,40.5065986994326
1.34,40.4169066095537
1.35,40.3270168087393
1.36,40.2369314574445
1.37,40.1466527268909
1.38,40.0561827988984
1.39,39.9655238657149
1.4,39.8746781298454
1.41,39.7836478038781
1.42,39.69243511031
1.43,39.6010422813706
1.44,39.5094715588442
1.45,39.4177251938906
1.46,39.3258054468641
1.47,39.2337145871318
1.48,39.1414548928901
1.49,39.0490286509792
1.5,38.9564381566979
1.51,38.8636857136152
1.52,38.7707736333821
1.53,38.6777042355416
1.54,38.5844798473371
1.55,38.4911028035208
1.56,38.3975754461594
1.57,38.3039001244403
1.58,38.2100791944756
1.59,38.1161150191054
1.6,38.0220099677004
1.61,37.9277664159631
1.62,37.8333867457286
1.63,37.7388733447638
1.64,37.6442286065663
1.65,37.5494549301625
1.66,37.4545547199047
1.67,37.3595303852673
1.68,37.2643843406427
1.69,37.1691190051363
1.7,37.073736802361
1.71,36.9782401602308
1.72,36.8826315107543
1.73,36.7869132898273
1.74,36.691087937025
1.75,36.595157895394
1.76,36.4991256112436
1.77,36.4029935339367
1.78,36.306764115681
1.79,36.2104398113187
1.8,36.1140230781173
1.81,36.0175163755591
1.82,35.9209221651312
1.83,35.8242429101154
1.84,35.7274810753769
1.85,35.6306391271548
1.86,35.5337195328507
1.87,35.4367247608187
1.88,35.3396572801547
1.89,35.2425195604859
1.9,35.145314071761
1.91,35.0480432840394
1.92,34.9507096672819
1.93,34.8533156911409
1.94,34.7558638247508
1.95,34.6583565365193
1.96,34.5607962939186
1.97,34.4631855632769
1.98,34.3655268095708
1.99,34.2678224962178
2,34.1700750848697
2.01,34.0722870352055
2.02,33.9744608047266
2.03,33.876598848551
2.04,33.7787036192092
2.05,33.6807775664399
2.06,33.5828231369876
2.07,33.4848427743998
2.08,33.3868389188255
2.09,33.2888140068148
2.1,33.1907704711188
2.11,33.0927107404909
2.12,32.9946372394886
2.13,32.8965523882767
2.14,32.7984586024309
2.15,32.7003582927433
2.16,32.6022538650282
2.17,32.5041477199293
2.18,32.4060422527282
2.19,32.3079398531534
2.2,32.2098429051915
2.21,32.111753786899
2.22,32.0136748702152
2.23,31.9156085207768
2.24,31.8175570977337
2.25,31.719522953566
2.26,31.6215084339025
2.27,31.5235158773407
2.28,31.4255476152681
2.29,31.3276059716847
2.3,31.2296932630275
2.31,31.1318117979964
2.32,31.0339638773813
2.33,30.9361517938908
2.34,30.8383778319832
